timestamp,estacao,geolocalizacao,equipamento_id,tipo_equipamento,vibracao,impacto,temperatura,velocidade_corrente,abertura_porta,posicao,torque,desalinhamento,contagem_pessoas,travamento,posicao_suspeita
2026-03-24 00:55:06,Guariroba,"-15.8306,-48.1022",Escada_Rolante_2,Escada_Rolante,1.82,Nenhum,24.5,0.94,N/A,Em movimento,36.34,Nenhum,2,Não,Não
2026-03-24 01:00:06,110 Sul,"-15.8286,-47.9089",Escada_Rolante_3,Escada_Rolante,2.44,Nenhum,23.2,1.0,N/A,Em movimento,46.3,Nenhum,1,Não,Não
2026-03-24 01:05:06,Praça do Relógio,"-15.8319,-48.0569",Escada_Rolante_3,Escada_Rolante,0.55,Nenhum,28.2,1.0,N/A,Em movimento,42.56,Nenhum,1,Não,Não
2026-03-24 01:10:06,Terminal Ceilândia,"-15.8078,-48.1258",Escada_Rolante_2,Escada_Rolante,1.17,Nenhum,21.0,1.07,N/A,Em movimento,30.67,Nenhum,7,Não,Não
2026-03-24 01:15:06,Shopping,"-15.8336,-47.9422",Escada_Rolante_3,Escada_Rolante,2.04,Nenhum,23.0,1.02,N/A,Em movimento,41.34,Nenhum,2,Não,Não
2026-03-24 01:20:06,Guariroba,"-15.8306,-48.1022",Elevador_1,Elevador,1.15,Nenhum,20.0,2.22,Fechada,Andar 5,45.69,Nenhum,2,Não,Não
2026-03-24 01:25:06,Guariroba,"-15.8306,-48.1022",Elevador_3,Elevador,2.06,Nenhum,28.3,1.33,Fechada,Andar 8,24.28,Nenhum,1,Não,Não
2026-03-24 01:30:06,Terminal Asa Sul,"-15.8483,-47.9239",Elevador_1,Elevador,0.68,Nenhum,24.7,1.42,Aberta,Andar 7,44.05,Nenhum,0,Não,Não
2026-03-24 01:35:06,112 Sul,"-15.8347,-47.9133",Escada_Rolante_2,Escada_Rolante,2.15,Nenhum,22.6,1.01,N/A,Em movimento,29.65,Nenhum,0,Não,Não
2026-03-24 01:40:06,Concessionárias,"-15.8361,-48.0381",Escada_Rolante_1,Escada_Rolante,1.49,Nenhum,22.3,1.02,N/A,Em movimento,28.22,Nenhum,3,Não,Não
2026-03-24 01:45:06,114 Sul,"-15.8406,-47.9181",Elevador_3,Elevador,1.93,Nenhum,22.6,1.64,Aberta,Andar 10,29.72,Nenhum,6,Não,Não
2026-03-24 01:50:06,Concessionárias,"-15.8361,-48.0381",Elevador_3,Elevador,0.8,Nenhum,26.6,1.23,Aberta,Andar 2,21.59,Nenhum,6,Não,Não
2026-03-24 01:55:06,Furnas,"-15.8672,-48.0469",Escada_Rolante_4,Escada_Rolante,2.26,Nenhum,26.6,1.08,N/A,Em movimento,28.82,Nenhum,0,Não,Não
2026-03-24 02:00:06,110 Sul,"-15.8286,-47.9089",Escada_Rolante_3,Escada_Rolante,2.32,Leve,24.0,0.9,N/A,Em movimento,20.12,Nenhum,2,Não,Não
2026-03-24 02:05:06,Ceilândia Norte,"-15.8142,-48.1189",Elevador_3,Elevador,0.33,Nenhum,27.0,2.34,Fechada,Andar 2,39.6,Nenhum,6,Não,Não
2026-03-24 02:10:06,Shopping,"-15.8336,-47.9422",Elevador_2,Elevador,0.75,Nenhum,29.5,1.88,Aberta,Andar 3,35.16,Nenhum,7,Não,Não
2026-03-24 02:15:06,110 Sul,"-15.8286,-47.9089",Elevador_4,Elevador,2.17,Nenhum,25.7,1.7,Aberta,Andar 3,21.03,Nenhum,0,Não,Não
2026-03-24 02:20:06,Arniqueiras,"-15.8378,-48.0169",Elevador_1,Elevador,1.58,Nenhum,24.5,2.18,Fechada,Andar 4,21.55,Nenhum,6,Não,Não
2026-03-24 02:25:06,Guariroba,"-15.8306,-48.1022",Escada_Rolante_3,Escada_Rolante,11.5,Forte,46.2,2.93,N/A,N/A,143.09,Severo,23,Sim,Sim
2026-03-24 02:30:06,Taguatinga Sul,"-15.8569,-48.0336",Escada_Rolante_4,Escada_Rolante,1.3,Nenhum,28.1,0.95,N/A,Em movimento,46.45,Nenhum,2,Não,Não
2026-03-24 02:35:06,Central,"-15.7925,-47.8828",Escada_Rolante_3,Escada_Rolante,2.49,Nenhum,27.5,0.95,N/A,Em movimento,39.53,Nenhum,1,Não,Não
2026-03-24 02:40:06,Samambaia Sul,"-15.8753,-48.0817",Escada_Rolante_1,Escada_Rolante,1.04,Nenhum,24.8,1.06,N/A,Em movimento,28.38,Nenhum,2,Não,Não
2026-03-24 02:45:06,106 Sul,"-15.8164,-47.8997",Escada_Rolante_3,Escada_Rolante,1.74,Nenhum,25.3,0.92,N/A,Em movimento,32.53,Nenhum,1,Não,Não
2026-03-24 02:50:06,Centro Metropolitano,"-15.8344,-48.0772",Escada_Rolante_1,Escada_Rolante,1.37,Leve,29.3,0.95,N/A,Em movimento,47.21,Nenhum,8,Não,Não
2026-03-24 02:55:06,Concessionárias,"-15.8361,-48.0381",Escada_Rolante_2,Escada_Rolante,1.06,Nenhum,23.1,0.92,N/A,Em movimento,32.66,Nenhum,1,Não,Não
2026-03-24 03:00:06,Concessionárias,"-15.8361,-48.0381",Elevador_3,Elevador,1.83,Nenhum,22.3,1.02,Aberta,Andar 1,36.59,Nenhum,8,Não,Não
2026-03-24 03:05:06,112 Sul,"-15.8347,-47.9133",Elevador_4,Elevador,2.08,Leve,27.1,1.66,Fechada,Andar 5,31.8,Nenhum,1,Não,Não
2026-03-24 03:10:06,102 Sul,"-15.8044,-47.8903",Elevador_2,Elevador,11.34,Extremo,46.1,1.19,Forçada,Entre andares,119.56,Crítico,18,Sim,Sim
2026-03-24 03:15:06,110 Sul,"-15.8286,-47.9089",Elevador_4,Elevador,0.54,Nenhum,26.3,1.45,Fechada,Andar 5,27.85,Nenhum,4,Não,Não
2026-03-24 03:20:06,102 Sul,"-15.8044,-47.8903",Escada_Rolante_3,Escada_Rolante,1.15,Nenhum,28.4,1.04,N/A,Em movimento,30.73,Nenhum,5,Não,Não
2026-03-24 03:25:06,114 Sul,"-15.8406,-47.9181",Elevador_2,Elevador,0.88,Nenhum,20.6,1.73,Aberta,Andar 4,45.65,Nenhum,2,Não,Não
2026-03-24 03:30:06,112 Sul,"-15.8347,-47.9133",Escada_Rolante_3,Escada_Rolante,0.41,Nenhum,23.7,1.05,N/A,Em movimento,49.41,Nenhum,2,Não,Não
2026-03-24 03:35:06,Águas Claras,"-15.8406,-48.0264",Escada_Rolante_1,Escada_Rolante,1.7,Nenhum,27.8,0.93,N/A,Em movimento,42.67,Nenhum,7,Não,Não
2026-03-24 03:40:06,Central,"-15.7925,-47.8828",Escada_Rolante_2,Escada_Rolante,1.46,Nenhum,21.7,1.08,N/A,Em movimento,23.85,Nenhum,2,Não,Não
2026-03-24 03:45:06,108 Sul,"-15.8228,-47.9042",Elevador_4,Elevador,1.02,Nenhum,25.5,2.46,Aberta,Andar 5,41.91,Nenhum,7,Não,Não
2026-03-24 03:50:06,Ceilândia Sul,"-15.8378,-48.0933",Elevador_2,Elevador,2.24,Nenhum,21.0,1.03,Fechada,Andar 1,25.8,Nenhum,1,Não,Não
2026-03-24 03:55:06,Shopping,"-15.8336,-47.9422",Elevador_2,Elevador,0.13,Leve,21.0,1.69,Aberta,Andar 8,36.29,Nenhum,3,Não,Não
2026-03-24 04:00:06,Ceilândia Norte,"-15.8142,-48.1189",Elevador_4,Elevador,0.72,Nenhum,20.8,1.54,Aberta,Andar 10,21.51,Nenhum,5,Não,Não
2026-03-24 04:05:06,Central,"-15.7925,-47.8828",Elevador_1,Elevador,13.12,Forte,41.7,2.76,Forçada,Entre andares,143.11,Crítico,11,Sim,Sim
2026-03-24 04:10:06,Arniqueiras,"-15.8378,-48.0169",Elevador_4,Elevador,0.82,Nenhum,23.1,1.38,Fechada,Andar 3,44.7,Nenhum,2,Não,Não
2026-03-24 04:15:06,Terminal Samambaia,"-15.8744,-48.0964",Escada_Rolante_4,Escada_Rolante,0.76,Nenhum,24.4,0.92,N/A,Em movimento,24.25,Nenhum,8,Não,Não
2026-03-24 04:20:06,106 Sul,"-15.8164,-47.8997",Elevador_4,Elevador,1.37,Nenhum,23.7,1.32,Aberta,Andar 4,48.84,Nenhum,5,Não,Não
2026-03-24 04:25:06,Ceilândia Centro,"-15.8236,-48.1128",Escada_Rolante_1,Escada_Rolante,2.08,Nenhum,28.7,1.0,N/A,Em movimento,20.83,Nenhum,6,Não,Não
2026-03-24 04:30:06,112 Sul,"-15.8347,-47.9133",Elevador_1,Elevador,1.51,Nenhum,27.5,1.08,Aberta,Andar 10,26.09,Nenhum,1,Não,Não
2026-03-24 04:35:06,110 Sul,"-15.8286,-47.9089",Elevador_3,Elevador,1.03,Nenhum,23.5,1.8,Fechada,Andar 10,46.36,Nenhum,2,Não,Não
2026-03-24 04:40:06,Galeria,"-15.7981,-47.8856",Elevador_4,Elevador,1.47,Nenhum,23.2,1.98,Aberta,Andar 4,35.95,Nenhum,2,Não,Não
2026-03-24 04:45:06,Ceilândia Centro,"-15.8236,-48.1128",Escada_Rolante_3,Escada_Rolante,0.74,Nenhum,29.8,0.93,N/A,Em movimento,32.25,Nenhum,0,Não,Não
2026-03-24 04:50:06,Estrada Parque,"-15.8333,-48.0494",Elevador_1,Elevador,1.41,Nenhum,26.2,1.68,Fechada,Andar 6,24.99,Nenhum,6,Não,Não
2026-03-24 04:55:06,Galeria,"-15.7981,-47.8856",Escada_Rolante_4,Escada_Rolante,0.97,Leve,29.9,1.06,N/A,Em movimento,41.83,Nenhum,7,Não,Não
2026-03-24 05:00:06,114 Sul,"-15.8406,-47.9181",Escada_Rolante_3,Escada_Rolante,0.68,Nenhum,20.2,0.94,N/A,Em movimento,36.15,Nenhum,0,Não,Não
2026-03-24 05:05:06,Samambaia Sul,"-15.8753,-48.0817",Elevador_1,Elevador,0.71,Nenhum,29.8,1.23,Fechada,Andar 10,31.57,Nenhum,5,Não,Não
2026-03-24 05:10:06,Ceilândia Norte,"-15.8142,-48.1189",Elevador_1,Elevador,1.07,Nenhum,26.2,1.48,Fechada,Andar 10,49.63,Nenhum,0,Não,Não
2026-03-24 05:15:06,Furnas,"-15.8672,-48.0469",Elevador_4,Elevador,1.25,Nenhum,23.2,2.25,Aberta,Andar 7,36.67,Nenhum,3,Não,Não
2026-03-24 05:20:06,Galeria,"-15.7981,-47.8856",Elevador_3,Elevador,2.43,Nenhum,21.0,1.03,Aberta,Andar 5,40.72,Nenhum,2,Não,Não
2026-03-24 05:25:06,Shopping,"-15.8336,-47.9422",Elevador_2,Elevador,1.22,Leve,22.9,2.3,Fechada,Andar 10,30.61,Nenhum,8,Não,Não
2026-03-24 05:30:06,Ceilândia Sul,"-15.8378,-48.0933",Elevador_3,Elevador,0.31,Nenhum,26.5,1.32,Aberta,Andar 5,39.5,Nenhum,5,Não,Não
2026-03-24 05:35:06,Shopping,"-15.8336,-47.9422",Escada_Rolante_1,Escada_Rolante,0.66,Nenhum,24.7,1.09,N/A,Em movimento,43.13,Nenhum,3,Não,Não
2026-03-24 05:40:06,Guariroba,"-15.8306,-48.1022",Escada_Rolante_2,Escada_Rolante,2.48,Leve,28.0,0.96,N/A,Em movimento,27.22,Nenhum,5,Não,Não
2026-03-24 05:45:06,Galeria,"-15.7981,-47.8856",Elevador_1,Elevador,1.46,Nenhum,29.7,2.28,Fechada,Andar 2,38.3,Nenhum,2,Não,Não
2026-03-24 05:50:06,Guariroba,"-15.8306,-48.1022",Escada_Rolante_3,Escada_Rolante,0.46,Nenhum,26.1,1.06,N/A,Em movimento,20.73,Nenhum,0,Não,Não
2026-03-24 05:55:06,Ceilândia Norte,"-15.8142,-48.1189",Elevador_3,Elevador,0.95,Nenhum,25.4,1.49,Fechada,Andar 5,33.62,Nenhum,2,Não,Não
2026-03-24 06:00:06,Terminal Asa Sul,"-15.8483,-47.9239",Elevador_1,Elevador,0.75,Leve,29.7,2.18,Fechada,Andar 1,20.14,Nenhum,1,Não,Não
2026-03-24 06:05:06,Guariroba,"-15.8306,-48.1022",Escada_Rolante_3,Escada_Rolante,8.54,Extremo,35.0,1.47,N/A,N/A,104.92,Crítico,19,Sim,Sim
2026-03-24 06:10:06,Centro Metropolitano,"-15.8344,-48.0772",Elevador_3,Elevador,0.46,Nenhum,28.2,1.71,Fechada,Andar 5,35.18,Nenhum,1,Não,Não
2026-03-24 06:15:06,Ceilândia Sul,"-15.8378,-48.0933",Elevador_2,Elevador,1.77,Nenhum,22.4,1.94,Aberta,Andar 2,20.38,Nenhum,6,Não,Não
2026-03-24 06:20:06,Estrada Parque,"-15.8333,-48.0494",Elevador_3,Elevador,1.32,Leve,22.4,1.17,Fechada,Andar 2,49.64,Nenhum,2,Não,Não
2026-03-24 06:25:06,Ceilândia Norte,"-15.8142,-48.1189",Elevador_3,Elevador,0.32,Nenhum,26.7,1.15,Fechada,Andar 4,32.87,Nenhum,1,Não,Não
2026-03-24 06:30:06,Arniqueiras,"-15.8378,-48.0169",Escada_Rolante_2,Escada_Rolante,1.14,Leve,20.5,0.91,N/A,Em movimento,25.72,Nenhum,3,Não,Não
2026-03-24 06:35:06,Galeria,"-15.7981,-47.8856",Escada_Rolante_2,Escada_Rolante,1.86,Nenhum,22.8,0.91,N/A,Em movimento,44.74,Nenhum,3,Não,Não
2026-03-24 06:40:06,Guariroba,"-15.8306,-48.1022",Elevador_4,Elevador,0.21,Nenhum,28.7,2.27,Aberta,Andar 2,34.83,Nenhum,6,Não,Não
2026-03-24 06:45:06,Taguatinga Sul,"-15.8569,-48.0336",Escada_Rolante_2,Escada_Rolante,0.21,Nenhum,22.2,0.94,N/A,Em movimento,33.57,Nenhum,0,Não,Não
2026-03-24 06:50:06,Guará,"-15.8258,-47.9708",Escada_Rolante_1,Escada_Rolante,0.11,Nenhum,26.5,0.99,N/A,Em movimento,35.17,Nenhum,1,Não,Não
2026-03-24 06:55:06,Central,"-15.7925,-47.8828",Elevador_1,Elevador,1.13,Nenhum,22.2,1.82,Fechada,Andar 5,23.7,Nenhum,2,Não,Não
2026-03-24 07:00:06,Centro Metropolitano,"-15.8344,-48.0772",Escada_Rolante_3,Escada_Rolante,0.37,Nenhum,26.9,0.96,N/A,Em movimento,41.14,Nenhum,8,Não,Não
2026-03-24 07:05:06,Central,"-15.7925,-47.8828",Escada_Rolante_3,Escada_Rolante,0.4,Nenhum,29.5,1.03,N/A,Em movimento,34.25,Nenhum,7,Não,Não
2026-03-24 07:10:06,114 Sul,"-15.8406,-47.9181",Escada_Rolante_2,Escada_Rolante,6.05,Extremo,37.7,1.29,N/A,N/A,116.47,Crítico,20,Sim,Sim
2026-03-24 07:15:06,Galeria,"-15.7981,-47.8856",Elevador_4,Elevador,0.98,Nenhum,23.5,1.94,Fechada,Andar 5,49.26,Nenhum,3,Não,Não
2026-03-24 07:20:06,Terminal Ceilândia,"-15.8078,-48.1258",Elevador_2,Elevador,0.73,Nenhum,21.6,1.8,Fechada,Andar 4,40.66,Nenhum,6,Não,Não
2026-03-24 07:25:06,110 Sul,"-15.8286,-47.9089",Escada_Rolante_4,Escada_Rolante,1.35,Nenhum,29.9,1.05,N/A,Em movimento,20.89,Nenhum,0,Não,Não
2026-03-24 07:30:06,Central,"-15.7925,-47.8828",Elevador_3,Elevador,0.83,Nenhum,21.7,1.64,Fechada,Andar 9,47.2,Nenhum,0,Não,Não
2026-03-24 07:35:06,112 Sul,"-15.8347,-47.9133",Elevador_2,Elevador,1.77,Nenhum,22.5,2.08,Aberta,Andar 6,22.67,Nenhum,6,Não,Não
2026-03-24 07:40:06,Ceilândia Norte,"-15.8142,-48.1189",Elevador_4,Elevador,10.13,Forte,36.6,1.57,Forçada,Entre andares,102.56,Crítico,13,Sim,Sim
2026-03-24 07:45:06,Feira,"-15.8319,-47.9547",Escada_Rolante_2,Escada_Rolante,0.88,Nenhum,23.5,1.05,N/A,Em movimento,49.02,Nenhum,7,Não,Não
2026-03-24 07:50:06,102 Sul,"-15.8044,-47.8903",Escada_Rolante_1,Escada_Rolante,0.22,Nenhum,22.8,0.93,N/A,Em movimento,34.92,Nenhum,0,Não,Não
2026-03-24 07:55:06,Centro Metropolitano,"-15.8344,-48.0772",Escada_Rolante_1,Escada_Rolante,2.02,Leve,20.4,1.01,N/A,Em movimento,20.82,Nenhum,5,Não,Não
2026-03-24 08:00:06,Terminal Samambaia,"-15.8744,-48.0964",Escada_Rolante_3,Escada_Rolante,5.46,Forte,44.0,0.54,N/A,N/A,110.24,Crítico,9,Sim,Sim
2026-03-24 08:05:06,Ceilândia Sul,"-15.8378,-48.0933",Elevador_2,Elevador,0.67,Nenhum,22.5,1.22,Aberta,Andar 2,36.07,Nenhum,1,Não,Não
2026-03-24 08:10:06,Central,"-15.7925,-47.8828",Elevador_1,Elevador,12.1,Forte,43.9,1.43,Forçada,Entre andares,80.73,Severo,16,Sim,Sim
2026-03-24 08:15:06,102 Sul,"-15.8044,-47.8903",Escada_Rolante_1,Escada_Rolante,0.45,Nenhum,26.4,1.0,N/A,Em movimento,27.88,Nenhum,7,Não,Não
2026-03-24 08:20:06,Ceilândia Sul,"-15.8378,-48.0933",Escada_Rolante_1,Escada_Rolante,0.19,Nenhum,29.4,1.01,N/A,Em movimento,32.65,Nenhum,6,Não,Não
2026-03-24 08:25:06,Shopping,"-15.8336,-47.9422",Escada_Rolante_3,Escada_Rolante,1.0,Nenhum,21.7,1.1,N/A,Em movimento,24.35,Nenhum,5,Não,Não
2026-03-24 08:30:06,Shopping,"-15.8336,-47.9422",Escada_Rolante_1,Escada_Rolante,1.94,Nenhum,27.1,0.9,N/A,Em movimento,20.99,Nenhum,5,Não,Não
2026-03-24 08:35:06,Ceilândia Sul,"-15.8378,-48.0933",Escada_Rolante_3,Escada_Rolante,1.93,Nenhum,25.5,0.95,N/A,Em movimento,42.62,Nenhum,3,Não,Não
2026-03-24 08:40:06,Shopping,"-15.8336,-47.9422",Escada_Rolante_3,Escada_Rolante,1.44,Nenhum,22.5,0.93,N/A,Em movimento,36.61,Nenhum,6,Não,Não
2026-03-24 08:45:06,Ceilândia Norte,"-15.8142,-48.1189",Escada_Rolante_3,Escada_Rolante,1.23,Nenhum,27.8,0.9,N/A,Em movimento,37.66,Nenhum,2,Não,Não
2026-03-24 08:50:06,Galeria,"-15.7981,-47.8856",Elevador_3,Elevador,0.59,Nenhum,21.3,1.33,Aberta,Andar 1,33.44,Nenhum,2,Não,Não
2026-03-24 08:55:06,Ceilândia Sul,"-15.8378,-48.0933",Elevador_3,Elevador,0.68,Nenhum,20.8,1.48,Aberta,Andar 4,30.02,Nenhum,6,Não,Não
2026-03-24 09:00:06,Praça do Relógio,"-15.8319,-48.0569",Elevador_2,Elevador,2.36,Nenhum,26.1,2.35,Fechada,Andar 1,35.97,Nenhum,7,Não,Não
2026-03-24 09:05:06,Shopping,"-15.8336,-47.9422",Elevador_2,Elevador,2.03,Leve,29.4,2.27,Aberta,Andar 10,25.85,Nenhum,5,Não,Não
2026-03-24 09:10:06,Ceilândia Sul,"-15.8378,-48.0933",Escada_Rolante_2,Escada_Rolante,0.81,Nenhum,29.7,1.08,N/A,Em movimento,30.73,Nenhum,8,Não,Não
2026-03-24 09:15:06,Concessionárias,"-15.8361,-48.0381",Escada_Rolante_4,Escada_Rolante,0.2,Leve,20.9,1.03,N/A,Em movimento,27.36,Nenhum,4,Não,Não
2026-03-24 09:20:06,Shopping,"-15.8336,-47.9422",Elevador_4,Elevador,1.38,Nenhum,21.4,1.8,Fechada,Andar 4,39.87,Nenhum,7,Não,Não
2026-03-24 09:25:06,Feira,"-15.8319,-47.9547",Elevador_3,Elevador,0.88,Nenhum,24.8,1.69,Fechada,Andar 10,28.48,Nenhum,0,Não,Não
2026-03-24 09:30:06,106 Sul,"-15.8164,-47.8997",Elevador_4,Elevador,0.84,Nenhum,25.7,2.09,Fechada,Andar 3,29.71,Nenhum,4,Não,Não
2026-03-24 09:35:06,Ceilândia Sul,"-15.8378,-48.0933",Elevador_3,Elevador,1.34,Leve,24.2,1.17,Aberta,Andar 9,25.05,Nenhum,6,Não,Não
2026-03-24 09:40:06,106 Sul,"-15.8164,-47.8997",Escada_Rolante_2,Escada_Rolante,2.06,Nenhum,24.2,1.09,N/A,Em movimento,20.38,Nenhum,6,Não,Não
2026-03-24 09:45:06,Taguatinga Sul,"-15.8569,-48.0336",Escada_Rolante_3,Escada_Rolante,0.37,Nenhum,25.8,0.94,N/A,Em movimento,41.49,Nenhum,2,Não,Não
2026-03-24 09:50:06,Guariroba,"-15.8306,-48.1022",Elevador_2,Elevador,0.79,Nenhum,24.3,2.27,Fechada,Andar 8,44.05,Nenhum,3,Não,Não
2026-03-24 09:55:06,108 Sul,"-15.8228,-47.9042",Elevador_2,Elevador,2.4,Nenhum,27.8,2.35,Aberta,Andar 2,32.53,Nenhum,4,Não,Não
2026-03-24 10:00:06,Samambaia Sul,"-15.8753,-48.0817",Elevador_2,Elevador,2.14,Nenhum,21.1,1.22,Aberta,Andar 9,39.59,Nenhum,4,Não,Não
2026-03-24 10:05:06,Estrada Parque,"-15.8333,-48.0494",Elevador_2,Elevador,1.31,Nenhum,23.2,1.9,Aberta,Andar 4,21.37,Nenhum,7,Não,Não
2026-03-24 10:10:06,110 Sul,"-15.8286,-47.9089",Elevador_4,Elevador,2.06,Nenhum,22.3,1.64,Fechada,Andar 1,25.31,Nenhum,3,Não,Não
2026-03-24 10:15:06,Concessionárias,"-15.8361,-48.0381",Escada_Rolante_4,Escada_Rolante,2.12,Nenhum,20.3,1.0,N/A,Em movimento,24.45,Nenhum,6,Não,Não
2026-03-24 10:20:06,Terminal Ceilândia,"-15.8078,-48.1258",Elevador_1,Elevador,1.02,Nenhum,25.0,1.91,Aberta,Andar 10,42.32,Nenhum,6,Não,Não
2026-03-24 10:25:06,Ceilândia Sul,"-15.8378,-48.0933",Escada_Rolante_3,Escada_Rolante,0.57,Nenhum,26.1,1.05,N/A,Em movimento,49.88,Nenhum,2,Não,Não
2026-03-24 10:30:06,102 Sul,"-15.8044,-47.8903",Elevador_3,Elevador,8.29,Extremo,46.8,2.23,Forçada,Bloqueada,81.49,Crítico,16,Sim,Sim
2026-03-24 10:35:06,Furnas,"-15.8672,-48.0469",Elevador_1,Elevador,0.67,Nenhum,25.7,1.18,Fechada,Andar 7,20.97,Nenhum,7,Não,Não
2026-03-24 10:40:06,Ceilândia Centro,"-15.8236,-48.1128",Escada_Rolante_4,Escada_Rolante,1.89,Nenhum,29.8,1.06,N/A,Em movimento,45.8,Nenhum,6,Não,Não
2026-03-24 10:45:06,Central,"-15.7925,-47.8828",Escada_Rolante_1,Escada_Rolante,1.9,Nenhum,25.0,1.0,N/A,Em movimento,48.28,Nenhum,1,Não,Não
2026-03-24 10:50:06,114 Sul,"-15.8406,-47.9181",Elevador_4,Elevador,0.75,Nenhum,20.6,1.7,Aberta,Andar 9,24.21,Nenhum,3,Não,Não
2026-03-24 10:55:06,Shopping,"-15.8336,-47.9422",Elevador_3,Elevador,2.05,Nenhum,29.1,1.87,Fechada,Andar 9,28.31,Nenhum,1,Não,Não
2026-03-24 11:00:06,Concessionárias,"-15.8361,-48.0381",Elevador_2,Elevador,0.94,Leve,20.2,1.92,Aberta,Andar 5,33.99,Nenhum,4,Não,Não
2026-03-24 11:05:06,110 Sul,"-15.8286,-47.9089",Escada_Rolante_4,Escada_Rolante,0.14,Nenhum,29.6,1.09,N/A,Em movimento,23.77,Nenhum,1,Não,Não
2026-03-24 11:10:06,Ceilândia Centro,"-15.8236,-48.1128",Elevador_3,Elevador,2.33,Nenhum,27.0,1.38,Fechada,Andar 10,30.0,Nenhum,2,Não,Não
2026-03-24 11:15:06,Furnas,"-15.8672,-48.0469",Elevador_4,Elevador,11.63,Forte,39.6,0.2,Forçada,Bloqueada,105.07,Severo,9,Sim,Sim
2026-03-24 11:20:06,Terminal Samambaia,"-15.8744,-48.0964",Escada_Rolante_2,Escada_Rolante,0.82,Nenhum,22.9,1.01,N/A,Em movimento,23.79,Nenhum,4,Não,Não
2026-03-24 11:25:06,Shopping,"-15.8336,-47.9422",Elevador_4,Elevador,0.29,Nenhum,24.4,1.32,Fechada,Andar 1,29.4,Nenhum,8,Não,Não
2026-03-24 11:30:06,Praça do Relógio,"-15.8319,-48.0569",Elevador_1,Elevador,1.59,Nenhum,29.6,2.32,Fechada,Andar 4,20.29,Nenhum,0,Não,Não
2026-03-24 11:35:06,Estrada Parque,"-15.8333,-48.0494",Escada_Rolante_3,Escada_Rolante,1.83,Nenhum,21.9,1.07,N/A,Em movimento,46.33,Nenhum,2,Não,Não
2026-03-24 11:40:06,Terminal Ceilândia,"-15.8078,-48.1258",Elevador_3,Elevador,1.08,Nenhum,21.4,2.03,Fechada,Andar 6,33.8,Nenhum,0,Não,Não
2026-03-24 11:45:06,Samambaia Sul,"-15.8753,-48.0817",Escada_Rolante_4,Escada_Rolante,2.42,Nenhum,22.6,1.07,N/A,Em movimento,42.87,Nenhum,3,Não,Não
2026-03-24 11:50:06,114 Sul,"-15.8406,-47.9181",Escada_Rolante_2,Escada_Rolante,1.05,Nenhum,29.7,0.98,N/A,Em movimento,40.28,Nenhum,1,Não,Não
